"TheFlyingSabers vs. war king,s",Number,Username,Destruction Achieved,Stars Won,Attacks Used,First Attack,Second Attack,Destruction Received,Stars Lost,Attacker
3/25/2021-3/26/2021 ,1,sam,173%,3,2,1 (86%; 2 Stars),4 (87%; 1 Star),0%,0,None
,2,Akira842,129%,4,2,2 (58%; 2 Stars),9 (71%; 2 Stars),0%,0,None
,3,Mir,100%,3,1,19 (100%; 3 Stars),Not Used,100%,3,2
,4,Biggie_cheese,0%,0,0,Not Used,Not Used,100%,3,6
,5,califi,200%,6,2,8 (100%; 3 Stars),30 (100%; 3 Stars),100%,3,6
,6,Hades,200%,6,2,7 (100%; 3 Stars),20 (100%; 3 Stars),100%,3,2
,7,Th3C4rteR,0%,0,0,Not Used,Not Used,100%,3,4
,8,Bryant,0%,0,0,Not Used,Not Used,100%,3,4
,9,Imparing,0%,0,0,Not Used,Not Used,46%,0,7
,10,nowires,0%,0,0,Not Used,Not Used,100%,3,18
,11,Dragon Slayer,0%,0,0,Not Used,Not Used,37%,0,26
,12,My Name is Jeff,0%,0,0,Not Used,Not Used,0%,0,None
,13,enhshn,0%,0,0,Not Used,Not Used,100%,3,15
,14,ZINEX,100%,3,1,14 (100%; 3 Stars),Not Used,0%,0,None
,15,rp,0%,0,0,Not Used,Not Used,0%,0,None
,16,Cyrus,0%,0,0,Not Used,Not Used,0%,0,None
,17,Booyahboy,163%,5,2,17 (63%; 2 Stars),27 (100%; 3 Stars),0%,0,None
,18,Grill,100%,3,1,25 (100%; 3 Stars),Not Used,99%,2,8
,19,noob gamer,0%,0,0,Not Used,Not Used,65%,1,20
,20,omega,0%,0,0,Not Used,Not Used,100%,3,18
,21,CR7,0%,0,0,Not Used,Not Used,100%,3,21
,22,bossssssss,0%,0,0,Not Used,Not Used,100%,3,24
,23,SHADOW,0%,0,0,Not Used,Not Used,39%,0,26
,24,JediGymnast,76%,2,1,29 (76%; 2 Stars),Not Used,100%,3,16
,25,mithunbadboy,0%,0,0,Not Used,Not Used,100%,3,22
,26,Ghost Lead,0%,0,0,Not Used,Not Used,100%,3,22
,27,That dude,0%,0,0,Not Used,Not Used,100%,3,30
,28,Poseidon,129%,3,2,28 (100%; 3 Stars),30 (29%; 0 Stars),100%,3,30
,29,FyreFyter,34%,0,2,30 (16%; 0 Stars),26 (18%; 0 Stars),0%,0,None
,30,That's sus,0%,0,0,Not Used,Not Used,0%,0,None
,,,,,,,,,,
TheFlyingSabers vs. U.S.S,Number,Username,Destruction Achieved,Stars Won,Attacks Used,First Attack,Second Attack,Destruction Received,Stars Lost,Attacker
3/27/2021-3/28/2021,1,sam,98%,2,1,3 (98%; 2 Stars),Not Used,76%,2,3
,2,Akira842,167%,5,2,2 (67%; 2 Stars),24 (100%; 3 Stars),100%,3,2
,3,Mir,200%,6,2,17 (100%; 3 Stars),12 (100%; 3 Stars),100%,3,4
,4,Biggie_cheese,132%,0,2,4 (43%; 0 Stars),11 (89%; 0 Stars),100%,3,6
,5,califi,200%,5,2,19 (100%; 3 Stars),13 (100%; 2 Stars),80%,2,1
,6,Hades,200%,6,2,5 (100%; 3 Stars),8 (100%; 3 Stars),100%,3,4
,7,Th3C4rteR,0%,0,0,Not Used,Not Used,100%,3,6
,8,Bryant,0%,0,0,Not Used,Not Used,100%,3,9
,9,Imparing,0%,0,0,Not Used,Not Used,96%,2,9
,10,My Name is Jeff,169%,4,2,30 (100%; 3 Stars),13 (69%; 1 Star),72%,1,8
,11,Dragon Slayer,0%,0,0,Not Used,Not Used,52%,1,18
,12,enhshn,0%,0,0,Not Used,Not Used,100%,3,3
,13,ZINEX,200%,3,2,14 (100%; 3 Stars),18 (100%; 3 Stars),73%,2,10
,14,rp,0%,0,0,Not Used,Not Used,100%,3,3
,15,Cyrus,0%,0,0,Not Used,Not Used,100%,3,18
,16,Booyahboy,170%,4,2,11 (70%; 1 Star),25 (100%; 3 Stars),87%,2,13
,17,Grill,88%,2,1,20 (88%; 2 Stars),Not Used,100%,3,13
,18,noob gamer,90%,1,1,16 (90%; 1 Star),Not Used,100%,3,12
,19,omega,0%,0,0,Not Used,Not Used,100%,3,16
,20,CR7,0%,0,0,Not Used,Not Used,100%,3,17
,21,bossssssss,0%,0,0,Not Used,Not Used,100%,3,14
,22,SHADOW,0%,0,0,Not Used,Not Used,100%,3,17
,23,JediGymnast,200%,6,2,23 (100%; 3 Stars),29 (100%; 3 Stars),100%,3,14
,24,mithunbadboy,0%,0,0,Not Used,Not Used,100%,3,1
,25,Ghost Lead,47%,0,1,19 (47%; 0 Stars),Not Used,100%,3,20
,26,That dude,0%,0,0,Not Used,Not Used,100%,3,20
,27,Poseidon,200%,6,2,27 (100%; 3 Stars),26 (100%; 3 Stars),100%,3,23
,28,FyreFyter,134%,3,2,26 (34%; 0 Stars),18 (100%; 3 Stars),100%,3,25
,29,That's sus,0%,0,0,Not Used,Not Used,100%,3,25
,30,xXMEOWXx,0%,0,0,Not Used,Not Used,100%,3,12
